stn    time           nto002d0  tre200dx  tre200d0  hns000d0  rre150d0
BER    19390101              0       5.0       1.8         0       0.0
BER    19390102              0       5.3       3.3         0       1.3
BER    19390103              0       3.0       0.4         8       0.9
BER    19390104              1       1.6      -2.1         0       0.0
BER    19390105              0       2.6      -0.3         4       1.4
BER    19390106              0       1.0      -2.7         0       0.0
BER    19390107              0      -1.2      -4.9         0       0.0
BER    19390108              0       4.0      -0.9         0       0.0
BER    19390109              0       0.2      -4.6         0       0.0
BER    19390110              0       1.5      -3.6         0       0.0
BER    19390111              0       3.7      -0.8         0       0.0
BER    19390112              0       3.2       1.0         1       2.8
BER    19390113              0       4.2       0.9         0       0.1
BER    19390114              0       6.0       1.6         0       0.0
BER    19390115              0       5.7       2.6         0       0.0
BER    19390116              0       7.3       4.6         0       5.9
BER    19390117              0       7.3       5.2         0       0.7
BER    19390118              0       7.1       4.9         0      10.5
BER    19390119              0       6.7       3.3         0       0.3
BER    19390120              0       4.6       2.2         0       1.7
BER    19390121              0       5.7       3.9         0       3.8
BER    19390122              0       8.2       5.6         0       7.5
BER    19390123              0       6.0       3.7         0       6.7
BER    19390124              0       4.3       2.6         0       0.0
BER    19390125              0       3.7       1.2        10       4.4
BER    19390126              0       4.1      -0.1         2       2.9
BER    19390127              0       1.0      -2.8         0       0.0
BER    19390128              0      -0.3      -4.3         0       0.0
BER    19390129              0       0.0      -3.5         0       0.0
BER    19390130              0      -1.2      -2.7         0       0.0
BER    19390131              0      -0.2      -1.4         0       0.0
BER    19390201              0      -1.2      -2.5         0       0.0
BER    19390202              0      -2.2      -3.2         0       0.0
BER    19390203              0      -1.7      -4.9         0       0.0
BER    19390204              0      -1.0      -5.6         0       0.0
BER    19390205              0       1.5      -4.4         0       0.0
BER    19390206              0       1.2      -4.7         0       0.0
BER    19390207              0       2.8      -4.0         0       0.0
BER    19390208              1       2.4      -3.3         0       0.0
BER    19390209              0       4.3       1.0         0       0.0
BER    19390210              0      11.4       5.3         0       0.0
BER    19390211              1       8.3       2.5         0       0.0
BER    19390212              0       7.3       2.8         0       0.0
BER    19390213              0       4.6       2.4         3       2.2
